Crop,N,P,K,pH,soil_moisture,Fertilizer
potato,138,85,125,5.5,60,Urea + DAP + MOP
groundnut,27,57,54,6.2,53,Gypsum + SSP
wheat,135,48,48,6.7,50,Urea + SSP + MOP
potato,141,92,114,6.1,65,Urea + DAP + MOP
wheat,113,55,41,7.5,50,Urea + SSP + MOP
cotton,77,35,91,6.5,53,Ammonium Sulphate + SSP + MOP
wheat,130,55,31,7.3,51,Urea + SSP + MOP
sugarcane,143,64,128,6.8,69,Urea + DAP + Potash
maize,97,68,61,6.9,65,Urea + DAP + Potash
sugarcane,157,58,118,6.5,71,Urea + DAP + Potash
sugarcane,142,68,118,6.6,72,Urea + DAP + Potash
maize,101,56,74,6.3,64,Urea + DAP + Potash
banana,197,52,303,7.0,70,Urea + MOP + Organic Manure
cotton,70,45,100,6.5,45,Ammonium Sulphate + SSP + MOP
banana,198,44,298,7.1,71,Urea + MOP + Organic Manure
tomato,108,62,107,6.4,58,Urea + DAP + Potash
potato,142,82,121,6.5,60,Urea + DAP + MOP
wheat,128,52,43,7.3,56,Urea + SSP + MOP
maize,96,51,77,6.8,63,Urea + DAP + Potash
rice,81,57,74,6.4,63,Urea + DAP + MOP
sugarcane,158,59,130,6.9,69,Urea + DAP + Potash
maize,94,63,63,6.6,60,Urea + DAP + Potash
groundnut,28,70,64,5.9,45,Gypsum + SSP
groundnut,30,56,56,6.1,54,Gypsum + SSP
rice,95,64,85,6.8,65,Urea + DAP + MOP
sugarcane,152,54,111,7.1,70,Urea + DAP + Potash
sugarcane,156,70,123,6.6,65,Urea + DAP + Potash
wheat,110,50,42,7.2,51,Urea + SSP + MOP
cotton,81,45,90,7.3,53,Ammonium Sulphate + SSP + MOP
tomato,106,59,105,6.5,57,Urea + DAP + Potash
potato,144,95,116,6.1,67,Urea + DAP + MOP
potato,142,89,120,6.2,68,Urea + DAP + MOP
tomato,118,66,110,6.1,55,Urea + DAP + Potash
groundnut,20,67,68,5.9,48,Gypsum + SSP
tomato,119,56,109,6.1,59,Urea + DAP + Potash
potato,146,81,110,5.9,63,Urea + DAP + MOP
tomato,109,60,90,6.5,62,Urea + DAP + Potash
potato,143,96,112,6.3,63,Urea + DAP + MOP
groundnut,25,69,58,5.6,47,Gypsum + SSP
maize,104,57,60,6.1,62,Urea + DAP + Potash
sugarcane,142,66,124,6.6,72,Urea + DAP + Potash
wheat,117,40,48,6.7,59,Urea + SSP + MOP
maize,93,56,71,6.5,56,Urea + DAP + Potash
cotton,88,35,95,6.9,47,Ammonium Sulphate + SSP + MOP
banana,207,49,291,7.5,70,Urea + MOP + Organic Manure
cotton,74,32,101,6.6,46,Ammonium Sulphate + SSP + MOP
rice,97,52,80,6.9,60,Urea + DAP + MOP
groundnut,21,61,61,6.2,52,Gypsum + SSP
maize,108,53,70,6.4,65,Urea + DAP + Potash
sugarcane,146,67,127,6.5,66,Urea + DAP + Potash
cotton,80,31,110,7.1,50,Ammonium Sulphate + SSP + MOP
cotton,86,49,99,6.8,54,Ammonium Sulphate + SSP + MOP
tomato,113,52,97,6.8,57,Urea + DAP + Potash
groundnut,25,61,63,5.6,48,Gypsum + SSP
pulses,45,72,39,6.5,57,Organic Manure + SSP
wheat,118,56,31,6.9,60,Urea + SSP + MOP
pulses,46,62,20,6.4,50,Organic Manure + SSP
groundnut,21,51,63,5.9,55,Gypsum + SSP
pulses,43,61,25,6.4,50,Organic Manure + SSP
potato,134,93,117,5.6,61,Urea + DAP + MOP
groundnut,26,51,63,6.0,54,Gypsum + SSP
wheat,117,49,33,6.7,57,Urea + SSP + MOP
rice,94,52,72,6.5,62,Urea + DAP + MOP
potato,142,95,111,5.5,60,Urea + DAP + MOP
banana,194,52,308,7.4,71,Urea + MOP + Organic Manure
pulses,30,74,35,6.1,55,Organic Manure + SSP
pulses,32,78,21,6.8,58,Organic Manure + SSP
banana,198,58,296,6.9,78,Urea + MOP + Organic Manure
pulses,31,73,31,6.5,51,Organic Manure + SSP
tomato,115,57,94,6.7,62,Urea + DAP + Potash
tomato,119,58,107,6.1,55,Urea + DAP + Potash
pulses,33,69,38,6.2,55,Organic Manure + SSP
potato,136,98,115,5.7,69,Urea + DAP + MOP
sugarcane,141,57,130,6.7,74,Urea + DAP + Potash
groundnut,22,57,65,5.6,45,Gypsum + SSP
maize,102,50,78,7.0,57,Urea + DAP + Potash
cotton,82,34,92,7.3,48,Ammonium Sulphate + SSP + MOP
wheat,106,54,40,6.6,60,Urea + SSP + MOP
wheat,107,47,31,7.0,54,Urea + SSP + MOP
sugarcane,150,50,112,6.8,73,Urea + DAP + Potash
rice,84,62,76,6.3,67,Urea + DAP + MOP
potato,139,84,130,5.9,63,Urea + DAP + MOP
wheat,123,53,49,7.4,57,Urea + SSP + MOP
pulses,36,79,31,6.7,60,Organic Manure + SSP
pulses,37,72,24,6.7,55,Organic Manure + SSP
wheat,134,41,40,7.1,60,Urea + SSP + MOP
tomato,103,70,105,6.9,63,Urea + DAP + Potash
banana,190,40,300,6.5,75,Urea + MOP + Organic Manure
banana,193,42,298,7.0,76,Urea + MOP + Organic Manure
wheat,136,51,33,6.8,50,Urea + SSP + MOP
groundnut,29,69,53,5.6,50,Gypsum + SSP
banana,205,41,304,7.0,80,Urea + MOP + Organic Manure
tomato,105,58,108,6.9,62,Urea + DAP + Potash
wheat,127,54,34,6.7,58,Urea + SSP + MOP
cotton,82,50,104,7.3,45,Ammonium Sulphate + SSP + MOP
banana,195,49,297,6.5,78,Urea + MOP + Organic Manure
sugarcane,157,69,111,7.4,74,Urea + DAP + Potash
potato,139,100,125,5.8,60,Urea + DAP + MOP
groundnut,27,63,61,6.5,49,Gypsum + SSP
maize,110,67,76,6.3,65,Urea + DAP + Potash
pulses,35,61,23,6.7,55,Organic Manure + SSP
rice,89,65,72,6.2,63,Urea + DAP + MOP
rice,83,67,80,6.2,63,Urea + DAP + MOP
groundnut,27,52,67,5.8,45,Gypsum + SSP
rice,97,69,87,6.4,60,Urea + DAP + MOP
maize,103,67,72,6.2,59,Urea + DAP + Potash
pulses,43,74,38,6.9,50,Organic Manure + SSP
pulses,40,78,31,6.9,60,Organic Manure + SSP
pulses,32,67,35,7.0,52,Organic Manure + SSP
tomato,103,62,95,6.1,62,Urea + DAP + Potash
groundnut,23,56,68,6.3,52,Gypsum + SSP
potato,134,100,119,6.1,66,Urea + DAP + MOP
banana,204,47,300,7.3,71,Urea + MOP + Organic Manure
pulses,30,77,37,6.7,57,Organic Manure + SSP
rice,92,53,70,6.3,66,Urea + DAP + MOP
tomato,100,70,108,6.4,61,Urea + DAP + Potash
cotton,78,36,96,6.7,51,Ammonium Sulphate + SSP + MOP
wheat,119,58,38,7.3,50,Urea + SSP + MOP
groundnut,23,57,56,6.1,52,Gypsum + SSP
potato,131,81,110,5.6,60,Urea + DAP + MOP
rice,92,62,86,6.0,65,Urea + DAP + MOP
maize,91,60,80,6.2,62,Urea + DAP + Potash
wheat,120,48,31,7.2,55,Urea + SSP + MOP
maize,107,59,76,6.1,57,Urea + DAP + Potash
wheat,130,43,43,7.0,60,Urea + SSP + MOP
wheat,127,44,50,7.4,58,Urea + SSP + MOP
potato,150,88,130,5.7,70,Urea + DAP + MOP
maize,104,62,70,6.4,55,Urea + DAP + Potash
potato,144,99,118,6.4,61,Urea + DAP + MOP
tomato,115,50,92,6.8,55,Urea + DAP + Potash
maize,99,57,68,6.4,55,Urea + DAP + Potash
sugarcane,142,64,114,6.6,71,Urea + DAP + Potash
pulses,33,61,37,6.1,56,Organic Manure + SSP
rice,96,52,77,6.0,70,Urea + DAP + MOP
groundnut,27,62,70,6.1,47,Gypsum + SSP
tomato,109,52,106,6.4,65,Urea + DAP + Potash
wheat,118,44,30,7.1,59,Urea + SSP + MOP
maize,95,62,62,6.9,59,Urea + DAP + Potash
wheat,132,53,48,7.4,58,Urea + SSP + MOP
potato,133,93,129,6.0,60,Urea + DAP + MOP
cotton,84,39,99,6.6,45,Ammonium Sulphate + SSP + MOP
cotton,87,48,90,6.8,54,Ammonium Sulphate + SSP + MOP
banana,193,40,292,6.7,73,Urea + MOP + Organic Manure
wheat,102,60,46,7.3,55,Urea + SSP + MOP
banana,194,45,302,6.8,71,Urea + MOP + Organic Manure
cotton,76,39,93,7.4,54,Ammonium Sulphate + SSP + MOP
pulses,49,67,36,6.4,50,Organic Manure + SSP
maize,110,58,77,6.1,60,Urea + DAP + Potash
groundnut,20,51,59,6.3,45,Gypsum + SSP
maize,96,66,72,6.4,60,Urea + DAP + Potash
maize,102,65,64,6.1,58,Urea + DAP + Potash
pulses,48,80,20,6.7,51,Organic Manure + SSP
cotton,79,34,110,7.2,45,Ammonium Sulphate + SSP + MOP
wheat,125,58,47,6.6,50,Urea + SSP + MOP
pulses,31,72,32,6.3,58,Organic Manure + SSP
sugarcane,154,62,111,7.4,65,Urea + DAP + Potash
tomato,118,59,95,6.7,61,Urea + DAP + Potash
tomato,114,66,92,6.8,64,Urea + DAP + Potash
groundnut,30,51,66,6.4,47,Gypsum + SSP
rice,90,62,75,6.7,63,Urea + DAP + MOP
tomato,105,57,99,6.9,59,Urea + DAP + Potash
banana,203,50,299,6.7,76,Urea + MOP + Organic Manure
maize,105,59,63,6.6,65,Urea + DAP + Potash
potato,131,87,123,6.1,66,Urea + DAP + MOP
sugarcane,158,70,119,6.6,75,Urea + DAP + Potash
potato,144,100,128,6.0,69,Urea + DAP + MOP
wheat,117,55,43,6.8,60,Urea + SSP + MOP
groundnut,27,63,68,5.6,54,Gypsum + SSP
sugarcane,149,57,122,7.3,71,Urea + DAP + Potash
potato,146,100,121,6.5,67,Urea + DAP + MOP
potato,142,100,125,6.4,66,Urea + DAP + MOP
sugarcane,144,70,120,6.9,72,Urea + DAP + Potash
potato,145,97,123,6.2,66,Urea + DAP + MOP
cotton,78,40,92,6.9,53,Ammonium Sulphate + SSP + MOP
wheat,116,60,46,7.4,55,Urea + SSP + MOP
cotton,77,42,101,7.2,45,Ammonium Sulphate + SSP + MOP
cotton,73,47,90,6.7,49,Ammonium Sulphate + SSP + MOP
pulses,33,68,39,6.9,58,Organic Manure + SSP
banana,209,48,307,6.9,80,Urea + MOP + Organic Manure
wheat,121,40,32,6.9,57,Urea + SSP + MOP
groundnut,24,57,57,5.8,45,Gypsum + SSP
tomato,116,54,96,6.0,61,Urea + DAP + Potash
potato,143,80,121,5.5,65,Urea + DAP + MOP
tomato,117,59,110,6.3,62,Urea + DAP + Potash
pulses,38,64,24,6.2,56,Organic Manure + SSP
tomato,105,55,109,6.2,60,Urea + DAP + Potash
maize,105,51,73,6.1,62,Urea + DAP + Potash
rice,88,63,72,6.3,61,Urea + DAP + MOP
wheat,132,57,32,6.9,56,Urea + SSP + MOP
maize,92,68,66,6.4,62,Urea + DAP + Potash
tomato,110,66,101,6.8,63,Urea + DAP + Potash
groundnut,29,50,62,5.6,47,Gypsum + SSP
potato,143,82,117,6.3,70,Urea + DAP + MOP
pulses,48,67,34,6.7,59,Organic Manure + SSP
wheat,129,60,50,7.3,59,Urea + SSP + MOP
tomato,110,65,100,6.1,64,Urea + DAP + Potash
cotton,80,40,95,6.8,54,Ammonium Sulphate + SSP + MOP
sugarcane,155,56,117,6.8,71,Urea + DAP + Potash
potato,143,82,123,5.7,68,Urea + DAP + MOP
sugarcane,149,62,128,7.3,65,Urea + DAP + Potash
cotton,81,48,107,7.1,47,Ammonium Sulphate + SSP + MOP
banana,197,59,295,7.0,73,Urea + MOP + Organic Manure
maize,98,69,74,6.5,58,Urea + DAP + Potash
sugarcane,153,65,118,6.6,75,Urea + DAP + Potash
banana,210,52,297,6.8,77,Urea + MOP + Organic Manure
rice,95,61,85,6.3,69,Urea + DAP + MOP
maize,93,70,66,6.1,64,Urea + DAP + Potash
tomato,102,68,95,6.3,55,Urea + DAP + Potash
groundnut,30,55,51,6.2,47,Gypsum + SSP
maize,105,64,79,7.0,59,Urea + DAP + Potash
sugarcane,154,56,110,7.0,66,Urea + DAP + Potash
cotton,86,44,96,7.5,49,Ammonium Sulphate + SSP + MOP
groundnut,24,66,55,6.0,46,Gypsum + SSP
sugarcane,148,57,110,6.7,68,Urea + DAP + Potash
groundnut,24,69,64,6.4,55,Gypsum + SSP
maize,95,55,72,6.6,57,Urea + DAP + Potash
cotton,78,47,105,7.3,49,Ammonium Sulphate + SSP + MOP
banana,205,58,294,7.2,72,Urea + MOP + Organic Manure
groundnut,28,67,56,5.6,53,Gypsum + SSP
wheat,137,60,31,7.2,60,Urea + SSP + MOP
cotton,74,43,91,6.7,45,Ammonium Sulphate + SSP + MOP
groundnut,29,50,54,6.2,55,Gypsum + SSP
rice,94,52,78,7.0,70,Urea + DAP + MOP
banana,206,45,291,7.4,71,Urea + MOP + Organic Manure
maize,102,69,75,6.7,62,Urea + DAP + Potash
rice,80,62,85,6.9,67,Urea + DAP + MOP
rice,93,58,79,6.5,63,Urea + DAP + MOP
banana,207,44,306,6.8,78,Urea + MOP + Organic Manure
wheat,135,53,49,6.6,60,Urea + SSP + MOP
maize,101,50,66,6.3,59,Urea + DAP + Potash
cotton,88,33,102,7.1,55,Ammonium Sulphate + SSP + MOP
pulses,33,64,28,6.4,54,Organic Manure + SSP
pulses,48,77,32,6.1,52,Organic Manure + SSP
sugarcane,146,67,122,7.4,67,Urea + DAP + Potash
tomato,117,50,104,6.0,55,Urea + DAP + Potash
cotton,75,48,106,6.8,54,Ammonium Sulphate + SSP + MOP
pulses,42,78,33,6.3,57,Organic Manure + SSP
sugarcane,151,52,120,6.6,70,Urea + DAP + Potash
wheat,116,58,45,6.9,54,Urea + SSP + MOP
rice,87,63,84,6.8,61,Urea + DAP + MOP
groundnut,23,59,52,6.4,47,Gypsum + SSP
groundnut,20,69,69,5.6,51,Gypsum + SSP
wheat,121,53,41,6.8,51,Urea + SSP + MOP
groundnut,30,61,58,6.5,53,Gypsum + SSP
pulses,34,64,23,6.8,59,Organic Manure + SSP
banana,205,59,306,7.0,71,Urea + MOP + Organic Manure
banana,195,51,299,6.6,77,Urea + MOP + Organic Manure
tomato,108,70,99,7.0,65,Urea + DAP + Potash
rice,89,51,70,6.9,64,Urea + DAP + MOP
tomato,110,51,94,6.4,61,Urea + DAP + Potash
groundnut,30,59,67,5.9,54,Gypsum + SSP
banana,201,47,305,7.4,78,Urea + MOP + Organic Manure
rice,94,66,78,6.5,66,Urea + DAP + MOP
maize,98,70,73,6.2,57,Urea + DAP + Potash
rice,83,66,74,6.2,64,Urea + DAP + MOP
maize,99,56,69,6.7,63,Urea + DAP + Potash
potato,140,83,124,5.9,69,Urea + DAP + MOP
potato,145,93,123,6.2,68,Urea + DAP + MOP
banana,206,58,308,6.7,73,Urea + MOP + Organic Manure
groundnut,22,69,60,5.5,52,Gypsum + SSP
sugarcane,148,63,111,7.2,75,Urea + DAP + Potash
pulses,34,60,21,6.2,59,Organic Manure + SSP
maize,107,57,71,6.1,55,Urea + DAP + Potash
rice,85,60,77,6.6,70,Urea + DAP + MOP
tomato,107,57,99,6.8,61,Urea + DAP + Potash
wheat,109,41,44,6.9,60,Urea + SSP + MOP
banana,210,59,304,6.7,75,Urea + MOP + Organic Manure
cotton,89,38,102,7.1,48,Ammonium Sulphate + SSP + MOP
rice,96,58,88,6.5,68,Urea + DAP + MOP
sugarcane,153,51,116,7.1,74,Urea + DAP + Potash
wheat,124,52,30,7.3,60,Urea + SSP + MOP
tomato,100,62,91,6.9,58,Urea + DAP + Potash
cotton,71,43,104,7.1,53,Ammonium Sulphate + SSP + MOP
rice,86,53,78,6.2,68,Urea + DAP + MOP
maize,102,64,69,6.3,63,Urea + DAP + Potash
groundnut,30,68,61,6.3,51,Gypsum + SSP
tomato,107,50,98,6.0,62,Urea + DAP + Potash
groundnut,25,65,62,6.2,55,Gypsum + SSP
pulses,46,66,37,6.7,54,Organic Manure + SSP
groundnut,24,64,56,6.5,53,Gypsum + SSP
maize,101,51,65,6.9,58,Urea + DAP + Potash
pulses,40,74,31,6.7,55,Organic Manure + SSP
sugarcane,150,55,129,7.4,70,Urea + DAP + Potash
tomato,115,55,107,6.4,55,Urea + DAP + Potash
tomato,115,55,110,6.4,65,Urea + DAP + Potash
maize,92,56,74,6.2,64,Urea + DAP + Potash
sugarcane,159,60,127,7.5,69,Urea + DAP + Potash
sugarcane,147,64,125,7.0,68,Urea + DAP + Potash
groundnut,23,70,69,5.8,47,Gypsum + SSP
banana,203,54,303,6.9,80,Urea + MOP + Organic Manure
sugarcane,158,59,113,7.3,74,Urea + DAP + Potash
tomato,114,50,105,6.5,58,Urea + DAP + Potash
groundnut,23,62,65,6.4,55,Gypsum + SSP
tomato,108,67,103,6.2,57,Urea + DAP + Potash
pulses,38,77,30,6.6,60,Organic Manure + SSP
wheat,124,55,48,6.6,54,Urea + SSP + MOP
maize,108,54,73,6.3,59,Urea + DAP + Potash
rice,87,64,78,6.1,61,Urea + DAP + MOP
banana,192,50,308,7.3,74,Urea + MOP + Organic Manure
rice,90,70,82,6.9,67,Urea + DAP + MOP
pulses,45,63,23,6.3,54,Organic Manure + SSP
groundnut,26,63,58,5.7,47,Gypsum + SSP
sugarcane,144,51,128,6.8,68,Urea + DAP + Potash
banana,192,52,306,6.9,73,Urea + MOP + Organic Manure
cotton,88,30,96,6.8,48,Ammonium Sulphate + SSP + MOP
groundnut,20,56,50,6.2,46,Gypsum + SSP
groundnut,20,68,54,5.7,49,Gypsum + SSP
potato,138,98,129,6.2,70,Urea + DAP + MOP
potato,134,80,119,6.5,61,Urea + DAP + MOP
cotton,71,50,93,6.7,49,Ammonium Sulphate + SSP + MOP
maize,110,64,67,6.1,64,Urea + DAP + Potash
potato,146,84,121,6.0,60,Urea + DAP + MOP
banana,192,49,306,6.7,75,Urea + MOP + Organic Manure
sugarcane,148,67,110,6.6,72,Urea + DAP + Potash
groundnut,25,67,50,5.6,54,Gypsum + SSP
tomato,105,62,110,6.5,55,Urea + DAP + Potash
tomato,108,63,93,6.9,60,Urea + DAP + Potash
groundnut,27,52,69,5.6,53,Gypsum + SSP
wheat,140,51,34,6.6,60,Urea + SSP + MOP
groundnut,24,53,70,6.3,50,Gypsum + SSP
banana,192,54,305,7.0,79,Urea + MOP + Organic Manure
maize,98,63,61,6.4,58,Urea + DAP + Potash
rice,80,50,84,6.7,65,Urea + DAP + MOP
wheat,105,60,49,7.3,59,Urea + SSP + MOP
maize,101,61,80,6.3,61,Urea + DAP + Potash
potato,147,87,130,6.0,62,Urea + DAP + MOP
banana,207,53,297,6.8,70,Urea + MOP + Organic Manure
banana,195,55,295,7.1,78,Urea + MOP + Organic Manure
pulses,46,66,22,6.8,56,Organic Manure + SSP
tomato,105,50,108,6.9,65,Urea + DAP + Potash
groundnut,30,68,69,6.1,49,Gypsum + SSP
groundnut,26,67,59,5.6,51,Gypsum + SSP
banana,202,53,297,7.5,74,Urea + MOP + Organic Manure
sugarcane,147,70,129,7.5,69,Urea + DAP + Potash
banana,210,58,304,7.0,78,Urea + MOP + Organic Manure
tomato,107,54,108,6.6,64,Urea + DAP + Potash
pulses,38,77,24,6.4,52,Organic Manure + SSP
potato,148,98,129,5.5,67,Urea + DAP + MOP
wheat,114,47,34,6.8,54,Urea + SSP + MOP
potato,148,93,126,6.2,64,Urea + DAP + MOP
sugarcane,159,70,124,7.2,73,Urea + DAP + Potash
tomato,102,61,109,6.5,60,Urea + DAP + Potash
maize,109,64,70,6.1,62,Urea + DAP + Potash
sugarcane,157,64,127,7.0,65,Urea + DAP + Potash
groundnut,23,51,68,5.6,53,Gypsum + SSP
wheat,122,57,49,7.2,52,Urea + SSP + MOP
wheat,109,56,39,7.1,55,Urea + SSP + MOP
cotton,81,43,100,7.4,53,Ammonium Sulphate + SSP + MOP
pulses,32,66,20,6.4,55,Organic Manure + SSP
groundnut,22,68,60,5.5,45,Gypsum + SSP
potato,143,91,114,5.5,69,Urea + DAP + MOP
cotton,75,37,109,7.2,51,Ammonium Sulphate + SSP + MOP
rice,91,54,89,6.9,64,Urea + DAP + MOP
tomato,107,61,108,6.6,55,Urea + DAP + Potash
sugarcane,154,51,125,7.4,69,Urea + DAP + Potash
cotton,82,32,97,6.7,53,Ammonium Sulphate + SSP + MOP
wheat,133,57,49,7.4,54,Urea + SSP + MOP
rice,90,52,75,6.1,69,Urea + DAP + MOP
wheat,127,43,47,7.2,52,Urea + SSP + MOP
tomato,109,54,93,6.2,62,Urea + DAP + Potash
groundnut,21,70,57,6.1,49,Gypsum + SSP
wheat,113,45,31,7.4,53,Urea + SSP + MOP
maize,109,53,77,6.0,65,Urea + DAP + Potash
wheat,116,46,44,7.5,59,Urea + SSP + MOP
groundnut,21,65,51,6.1,51,Gypsum + SSP
wheat,104,57,31,7.4,56,Urea + SSP + MOP
maize,95,50,73,6.5,57,Urea + DAP + Potash
potato,134,81,111,5.8,62,Urea + DAP + MOP
maize,104,55,67,6.4,57,Urea + DAP + Potash
tomato,119,54,103,6.4,55,Urea + DAP + Potash
tomato,102,55,90,6.5,62,Urea + DAP + Potash
potato,148,98,119,6.3,64,Urea + DAP + MOP
pulses,45,72,30,6.5,52,Organic Manure + SSP
maize,108,57,62,6.5,64,Urea + DAP + Potash
sugarcane,150,61,118,7.2,73,Urea + DAP + Potash
cotton,88,38,97,6.6,55,Ammonium Sulphate + SSP + MOP
sugarcane,147,50,112,6.8,72,Urea + DAP + Potash
maize,91,56,80,6.1,57,Urea + DAP + Potash
tomato,120,60,101,6.2,57,Urea + DAP + Potash
groundnut,29,51,62,5.6,55,Gypsum + SSP
rice,91,61,86,6.8,68,Urea + DAP + MOP
wheat,138,52,48,6.9,58,Urea + SSP + MOP
rice,98,51,89,6.1,63,Urea + DAP + MOP
banana,198,56,291,6.7,79,Urea + MOP + Organic Manure
rice,100,56,89,6.1,63,Urea + DAP + MOP
maize,99,53,76,6.5,62,Urea + DAP + Potash
tomato,118,58,103,6.3,58,Urea + DAP + Potash
cotton,81,35,105,6.9,53,Ammonium Sulphate + SSP + MOP
banana,199,54,291,6.6,76,Urea + MOP + Organic Manure
maize,91,62,79,7.0,63,Urea + DAP + Potash
maize,104,65,69,6.5,63,Urea + DAP + Potash
sugarcane,154,62,121,7.4,70,Urea + DAP + Potash
rice,91,68,89,6.5,69,Urea + DAP + MOP
cotton,80,42,95,6.9,50,Ammonium Sulphate + SSP + MOP
banana,207,42,302,7.4,79,Urea + MOP + Organic Manure
maize,90,66,77,6.8,57,Urea + DAP + Potash
potato,140,83,121,6.5,65,Urea + DAP + MOP
sugarcane,151,60,122,6.6,75,Urea + DAP + Potash
sugarcane,154,62,111,6.6,74,Urea + DAP + Potash
tomato,106,53,103,6.4,55,Urea + DAP + Potash
tomato,111,57,102,6.1,62,Urea + DAP + Potash
rice,82,65,70,6.3,65,Urea + DAP + MOP
groundnut,20,50,57,6.0,49,Gypsum + SSP
groundnut,28,50,63,6.2,50,Gypsum + SSP
rice,88,52,89,6.7,67,Urea + DAP + MOP
cotton,70,38,106,7.5,53,Ammonium Sulphate + SSP + MOP
potato,136,89,125,5.7,63,Urea + DAP + MOP
potato,144,100,124,6.5,62,Urea + DAP + MOP
banana,196,40,302,6.8,74,Urea + MOP + Organic Manure
groundnut,20,50,54,6.5,47,Gypsum + SSP
tomato,102,62,91,6.3,64,Urea + DAP + Potash
groundnut,25,63,68,5.8,49,Gypsum + SSP
pulses,39,77,26,6.4,50,Organic Manure + SSP
pulses,45,64,36,6.7,59,Organic Manure + SSP
sugarcane,158,63,130,7.1,74,Urea + DAP + Potash
maize,107,60,64,6.8,64,Urea + DAP + Potash
rice,98,61,87,6.9,63,Urea + DAP + MOP
groundnut,25,51,57,5.5,53,Gypsum + SSP
banana,191,43,294,7.1,75,Urea + MOP + Organic Manure
cotton,77,45,91,7.1,49,Ammonium Sulphate + SSP + MOP
banana,198,48,292,7.0,71,Urea + MOP + Organic Manure
sugarcane,149,51,120,7.0,71,Urea + DAP + Potash
banana,198,44,305,6.5,70,Urea + MOP + Organic Manure
wheat,121,47,44,6.6,59,Urea + SSP + MOP
groundnut,26,65,54,5.7,55,Gypsum + SSP
maize,101,60,61,6.0,59,Urea + DAP + Potash
wheat,114,51,32,6.7,57,Urea + SSP + MOP
cotton,77,38,95,7.4,52,Ammonium Sulphate + SSP + MOP
pulses,38,64,26,6.7,50,Organic Manure + SSP
groundnut,24,56,67,6.2,49,Gypsum + SSP
sugarcane,155,50,112,6.5,68,Urea + DAP + Potash
maize,106,58,69,6.3,62,Urea + DAP + Potash
maize,93,54,64,6.8,55,Urea + DAP + Potash
wheat,106,51,38,7.2,51,Urea + SSP + MOP
cotton,89,33,100,7.5,49,Ammonium Sulphate + SSP + MOP
tomato,101,60,94,6.9,63,Urea + DAP + Potash
banana,191,50,308,7.3,70,Urea + MOP + Organic Manure
groundnut,28,58,52,5.7,52,Gypsum + SSP
sugarcane,150,63,116,6.8,65,Urea + DAP + Potash
banana,209,48,303,7.4,80,Urea + MOP + Organic Manure
rice,84,62,77,6.1,68,Urea + DAP + MOP
maize,98,56,71,6.7,55,Urea + DAP + Potash
sugarcane,158,68,112,7.3,65,Urea + DAP + Potash
tomato,111,63,100,7.0,65,Urea + DAP + Potash
pulses,34,62,23,6.5,58,Organic Manure + SSP
wheat,133,51,36,7.0,54,Urea + SSP + MOP
maize,109,59,66,6.4,60,Urea + DAP + Potash
groundnut,27,51,59,5.9,54,Gypsum + SSP
rice,93,54,73,6.2,65,Urea + DAP + MOP
groundnut,23,50,62,6.0,51,Gypsum + SSP
pulses,45,73,22,6.8,57,Organic Manure + SSP
pulses,35,76,32,6.3,57,Organic Manure + SSP
wheat,125,43,32,6.9,57,Urea + SSP + MOP
banana,196,41,308,6.9,78,Urea + MOP + Organic Manure
sugarcane,148,51,114,7.2,70,Urea + DAP + Potash
maize,103,63,62,6.7,56,Urea + DAP + Potash
pulses,48,71,26,6.3,56,Organic Manure + SSP
tomato,112,54,107,6.1,64,Urea + DAP + Potash
banana,204,45,309,6.5,72,Urea + MOP + Organic Manure
groundnut,20,55,64,6.0,46,Gypsum + SSP
wheat,137,60,41,7.1,56,Urea + SSP + MOP
groundnut,25,59,69,6.2,45,Gypsum + SSP
rice,89,65,88,6.4,66,Urea + DAP + MOP
banana,200,58,293,7.2,78,Urea + MOP + Organic Manure
pulses,33,60,26,6.0,57,Organic Manure + SSP
cotton,77,48,102,7.0,55,Ammonium Sulphate + SSP + MOP
tomato,108,66,97,6.9,58,Urea + DAP + Potash
cotton,85,30,92,7.5,52,Ammonium Sulphate + SSP + MOP
maize,105,62,79,6.6,62,Urea + DAP + Potash
cotton,70,36,96,7.4,55,Ammonium Sulphate + SSP + MOP
sugarcane,142,68,127,6.9,71,Urea + DAP + Potash
maize,91,52,66,6.9,59,Urea + DAP + Potash
potato,148,95,127,6.2,63,Urea + DAP + MOP
tomato,102,65,94,6.6,63,Urea + DAP + Potash
wheat,113,46,31,6.7,50,Urea + SSP + MOP
wheat,113,40,34,7.0,59,Urea + SSP + MOP
rice,98,69,81,6.5,67,Urea + DAP + MOP
potato,136,84,121,6.2,62,Urea + DAP + MOP
potato,148,95,120,5.9,60,Urea + DAP + MOP
banana,198,53,290,6.6,77,Urea + MOP + Organic Manure
cotton,77,47,101,6.5,49,Ammonium Sulphate + SSP + MOP
rice,97,56,84,6.0,68,Urea + DAP + MOP
rice,98,50,70,7.0,63,Urea + DAP + MOP
maize,90,63,75,6.6,58,Urea + DAP + Potash
sugarcane,146,54,123,6.8,73,Urea + DAP + Potash
pulses,36,71,30,6.3,51,Organic Manure + SSP
groundnut,28,66,65,6.2,45,Gypsum + SSP
cotton,70,45,97,7.4,53,Ammonium Sulphate + SSP + MOP
banana,192,43,296,6.7,72,Urea + MOP + Organic Manure
sugarcane,150,52,126,7.1,68,Urea + DAP + Potash
